category,title,abstract
math,From objects to diagrams for ranges of functors,"Let A, B, S be categories, let F:A-->S and G:B-->S be functors. We assume
that for ""many"" objects a in A, there exists an object b in B such that F(a) is
isomorphic to G(b). We establish a general framework under which it is possible
to transfer this statement to diagrams of A. These diagrams are all indexed by
posets in which every principal ideal is a join-semilattice and the set of all
upper bounds of any finite subset is a finitely generated upper subset. Various
consequences follow, in particular: (1) The Gr\""atzer-Schmidt Theorem, which
states that every algebraic lattice is isomorphic to the congruence lattice of
some algebra, can be extended to finite poset-indexed diagrams of algebraic
lattices and compactness-preserving complete join-homomorphisms (and no
finiteness restriction if there are large enough cardinals). (2) In a host of
situations, the relative critical point between two locally finite
quasivarieties is either less than aleph omega or equal to infinity. (3) A
lattice of cardinality aleph 1 may not have any congruence-permutable,
congruence-preserving extension."
math,"A non-coordinatizable sectionally complemented modular lattice with a
  large Jónsson four-frame","A sectionally complemented modular lattice L is coordinatizable if it is
isomorphic to the lattice L(R) of all principal right ideals of some von
Neumann regular (not necessarily unital) ring R. We say that L has a large
4-frame if it has a homogeneous sequence (a_0,a_1,a_2,a_3) such that the
neutral ideal generated by a_0 is L. J\'onsson proved in 1962 that if L has a
countable cofinal sequence and a large 4-frame, then it is coordinatizable;
whether the cofinal sequence assumption could be dispensed with was left open.
We solve this problem by finding a non-coordinatizable sectionally complemented
modular lattice L with a large 4-frame; it has cardinality aleph one.
Furthermore, L is an ideal in a (necessarily coordinatizable) complemented
modular lattice with a spanning 5-frame. Our proof uses Banaschewski functions.
A Banaschewski function on a bounded lattice L is an antitone self-map of L
that picks a complement for each element of L. In an earlier paper, we proved
that every countable complemented modular lattice has a Banaschewski function.
We prove that there exists a unit-regular ring R of cardinality aleph one and
index of nilpotence 3 such that L(R) has no Banaschewski function."
math,A^1-homotopy theory and contractible varieties: a survey,"We survey some topics in ${\mathbb A}^1$-homotopy theory. Our main goal is to
highlight the interplay between ${\mathbb A}^1$-homotopy theory and affine
algebraic geometry, focusing on the varieties that are ""contractible"" from
various standpoints."
math,Strong algebraization of fixed point properties,"The following natural question arises from Shalom's innovational work (1999,
Publ. IHES): ""Can we establish an intrinsic criterion to synthesize relative
fixed point properties into the whole fixed point property without assuming
Bounded Generation?"" This paper resolves this question in the affirmative. Our
criterion works for ones with respect to certain classes of Busemann NPC
spaces. It, moreover, suggests a further step toward constructing
super-expanders from finite simple groups of Lie type."
math,The mathematical work of K.S.S. Nambooripad,"We provide an overview of the mathematical work of K.S.S. Nambooripad, with a
focus on his contributions to the theory of regular semigroups. In particular,
we outline Nambooripad's seminal contributions to the structure theory of
regular semigroups via his theory of {\em inductive groupoids}, and also via
his theory of {\em cross connections}. We also provide information about
outgrowths of his work in the algebraic theory of semigroups and its
connections with several other fields of mathematics, in particular with the
theory of operator algebras."
math,"Characterizing group $C^\ast$-algebras through their unitary groups: the
  Abelian case","We study to what extent group $C^\ast$-algebras are characterized by their
unitary groups. A complete characterization of which Abelian group
$C^\ast$-algebras have isomorphic unitary groups is obtained. We compare these
results with other unitary-related invariants of $C^\ast(\Gamma)$, such as the
$K$-theoretic $K_1(C^\ast(\Gamma))$ and find that $C^\ast$-algebras of
nonisomorphic torsion-free Abelian groups may have isomorphic $K_1$-groups, in
sharp contrast with the well-known fact that $C^\ast(\Gamma)$ (even $\Gamma$)
is characterized by the topological group structure of its unitary group when
$\Gamma $ is torsion-free and Abelian."
math,Surprising occurrences of order structures in mathematics,"Order and symmetry are main structural principles in mathematics. We give
five examples where on the face of it order is not apparent, but deeper
investigations reveal that they are governed by order structures. These
examples are finite topologies, associative algebras, subgroups of matrix
groups, ideals in polynomial rings, and classes of bipartite graphs."
math,Right Bousfield Localization and Operadic Algebras,"It is well known that under some general conditions right Bousfield
localization exists. We provide general conditions under which right Bousfield
localization yields a monoidal model category. Then we address the questions of
when this monoidal model structure on a right Bousfield localization induces a
model structure on the category of algebras over a colored operad and when a
right Bousfield localization preserves colored operadic algebras. We give
numerous applications, to topological spaces, equivariant spaces, chain
complexes, stable module categories, and to the category of small categories.
We recover a wide range of classical results as special cases of our theory,
and prove several new preservation results."
math,Symmetric homotopy theory for operads,"The purpose of this foundational paper is to introduce various notions and
constructions in order to develop the homotopy theory for differential graded
operads over any ring. The main new idea is to consider the action of the
symmetric groups as part of the defining structure of an operad and not as the
underlying category. We introduce a new dual category of higher cooperads, a
new higher bar-cobar adjunction with the category of operads, and a new higher
notion of homotopy operads, for which we establish the relevant homotopy
properties. For instance, the higher bar-cobar construction provides us with a
cofibrant replacement functor for operads over any ring. All these
constructions are produced conceptually by applying the curved Koszul duality
for colored operads. This paper is a first step toward a new Koszul duality
theory for operads, where the action of the symmetric groups is properly taken
into account."
math,On the axiomatisability of the dual of compact ordered spaces,"We provide a direct and elementary proof of the fact that the category of
Nachbin's compact ordered spaces is dually equivalent to an Aleph_1-ary variety
of algebras. Further, we show that Aleph_1 is a sharp bound: compact ordered
spaces are not dually equivalent to any SP-class of finitary algebras."
math,Grätzer-Hofmann-Lawson-Jung-Sünderhauf Duality,"We unify several extensions of the classic Stone duality due to Gr\""atzer,
Hoffman-Lawson and Jung-S\""underhauf. Specifically we show that U-bases of
locally compact sober spaces are dual to <-distributive v-predomains, where <
is a transitive relation representing compact containment."
math,Generalized Frobenius Algebras and the Theory of Hopf Algebras,"""Co-Frobenius"" coalgebras were introduced as dualizations of Frobenius
algebras. Recently, it was shown in \cite{I} that they admit left-right
symmetric characterizations analogue to those of Frobenius algebras: a
coalgebra $C$ is co-Frobenius if and only if it is isomorphic to its rational
dual. We consider the more general quasi-co-Frobenius (QcF) coalgebras; in the
first main result we show that these also admit symmetric characterizations: a
coalgebra is QcF if it is weakly isomorphic to its (left, or equivalently
right) rational dual $Rat(C^*)$, in the sense that certain coproduct or product
powers of these objects are isomorphic. These show that QcF coalgebras can be
viewed as generalizations of both co-Frobenius coalgebras and Frobenius
algebras. Surprisingly, these turn out to have many applications to fundamental
results of Hopf algebras. The equivalent characterizations of Hopf algebras
with left (or right) nonzero integrals as left (or right) co-Frobenius, or QcF,
or semiperfect or with nonzero rational dual all follow immediately from these
results. Also, the celebrated uniqueness of integrals follows at the same time
as just another equivalent statement. Moreover, as a by-product of our methods,
we observe a short proof for the bijectivity of the antipode of a Hopf algebra
with nonzero integral. This gives a purely representation theoretic approach to
many of the basic fundamental results in the theory of Hopf algebras."
math,Simplicial Structure on Complexes,"While chain complexes are equipped with a differential $d$ satisfying $d^2 =
0$, their generalizations called $N$-complexes have a differential $d$
satisfying $d^N = 0$. In this paper we show that the lax nerve of the category
of chain complexes is pointwise adjoint equivalent to the d\'ecalage of the
simplicial category of $N$-complexes. This reveals additional simplicial
structure on the lax nerve of the category of chain complexes which provides a
categorfication of the triangulated homotopy category of chain complexes. We
study this phenomena in general and present evidence that the axioms of
triangulated categories have simplicial origin."
math,Localization of Cofibration Categories and Groupoid $C^*$-algebras,"We prove that relative functors out of a cofibration category are essentially
the same as relative functors which are only defined on the subcategory of
cofibrations. As an application we give a new construction of the functor that
assigns to a groupoid its groupoid $C^*$-algebra and thereby its topological
$K$-theory spectrum."
math,Updates on Hirzebruch's 1954 Problem List,"We present updates to the problems on Hirzebruch's 1954 problem list
focussing on open problems, and on those where substantial progress has been
made in recent years. We discuss some purely topological problems, as well as
geometric problems about (almost) complex structures, both algebraic and
non-algebraic, about contact structures, and about (complementary pairs of)
foliations."
math,The magnitude of metric spaces,"Magnitude is a real-valued invariant of metric spaces, analogous to the Euler
characteristic of topological spaces and the cardinality of sets. The
definition of magnitude is a special case of a general categorical definition
that clarifies the analogies between various cardinality-like invariants in
mathematics. Although this motivation is a world away from geometric measure,
magnitude, when applied to subsets of R^n, turns out to be intimately related
to invariants such as volume, surface area, perimeter and dimension. We
describe several aspects of this relationship, providing evidence for a
conjecture (first stated in arXiv:0908.1582) that magnitude subsumes all the
most important invariants of classical integral geometry."
math,Monotone-light factorizations in coarse geometry,"We introduce large scale analogues of topological monotone and light maps,
which we call coarsely monotone and coarsely light maps respectively. We show
that these two classes of maps constitute a factorization system on the coarse
category. We also show how coarsely monotone maps arise from a reflection in a
similar way to classically monotone maps, and prove that coarsely monotone maps
are stable under those pullbacks which exist in the coarse category. For the
case of maps between proper metric spaces, we exhibit some connections between
the coarse and classical notions of monotone and light using the Higson corona.
Finally, we look at some coarse properties which are preserved by coarsely
light maps such as finite asymptotic dimension and exactness, and make some
remarks on the situation for groups and group homomorphisms."
math,Ends of spaces via linear algebra,"We develop a theory that may be considered as a prequel to the coarse theory.
We are viewing ends of spaces as extra points at infinity. In order to discuss
behaviour of spaces at infinity one needs a concept (a measure) of approaching
infinity. The simplest way to do so is to list subsets of $X$ that are bounded
(i.e. far from infinity) and that list should satisfy certain basic properties.
Such a list $S_X$ we call a \textbf{scale} on a set $X$ (see Section 3). In
order to use ideas from the Stone Duality Theorem we consider sub-Boolean
algebras $BA_X$ of the power set $2^X$ of $X$ that contain $S_X$ and that leads
naturally to the concept of ends of a \textbf{scaled Boolean algebra}
$(X,S_X,BA_X)$ which can be attached to $X$ and form a new scaled Boolean
algebra $(\bar X,S_X,\overline{BA_X})$ that is \textbf{compact at infinity}.
  Given a scaled space $(X,S_X)$ the most natural scaled Boolean algebra is
$(X,S_X,2^X)$ which can be too far removed from the geometry of $X$. Therefore
we need to figure out how to trim $2^X$ to a smaller sub-Boolean algebra
$BA_X$. More generally, how to trim a sub-Boolean algebra $BA_X$ to a smaller
one. That is done using ideas from linear algebra. Namely, we consider a family
$\mathcal{F}$ of naturally arising $S_X$-linear operators on $BA_X$ and the
smaller sub-Boolean algebra $BA_{\mathcal{F}}$ consists of eigensets of
$\mathcal{F}$, an analog of eigenvectors from linear algebra. We show that all
ends defined in literature so far (Freundenthal ends, ends of finitely
generated groups, Specker ends, Cornulier ends, ends of coarse spaces) are
special cases of such a process."
math,Homotopy invariance of higher K-theory for abelian categories,"The main theorem in this paper is that the base change functor from a
noetherian abelian category to its noetherian polynomial category induces an
isomorphism on K-theory. The main theorem implies the well-known fact that
A^1-homotopy invariance of K'-theory for noetherian schemes."
math,Graded Brauer groups of a groupoid with involution,"We define a group $RBr(\mathcal{G})$ containing, in a sense, the graded
complex and orthogonal Brauer groups of a locally compact groupoid
$\mathcal{G}$ equipped with an involution. When the involution is trivial, we
show that the new group naturally provides a generalization of
Donovan-Karoubi's graded orthogonal Brauer group $GBrO$. More generally, it is
shown to be a direct summand of the well-known graded complex Brauer goup. In
addition, we prove that $RBr(\mathcal{G})$ identifies with a direct sum of a
Real cohomology group and the abelian group $RExt(\mathcal{G},U(1))$ of Real
graded $U(1)$-central extensions. A cohomological picture is then given."
math,"Expanders, exact crossed products, and the Baum-Connes conjecture","We reformulate the Baum-Connes conjecture with coefficients by introducing a
new crossed product functor for C*-algebras. All confirming examples for the
original Baum-Connes conjecture remain confirming examples for the reformulated
conjecture, and at present there are no known counterexamples to the
reformulated conjecture. Moreover, some of the known expander-based
counterexamples to the original Baum-Connes conjecture become confirming
examples for our reformulated conjecture."
math,The negative side of cohomology for Calabi-Yau categories,"We study integer-graded cohomology rings defined over Calabi-Yau categories.
We show that the cohomology in negative degree is a trivial extension of the
cohomology ring in non-negative degree, provided the latter admits a regular
sequence of central elements of length two. In particular, the product of
elements of negative degrees are zero. As corollaries we apply this to
Tate-Hochschild cohomology rings of symmetric algebras, and to Tate cohomology
rings over group algebras. We also prove similar results for Tate cohomology
rings over commutative local Gorenstein rings."
math,Cokernels in the stable category of a left hereditary ring,"It is proved that if a ring is left hereditary, left perfect and right
coherent, then the stable category has cokernels. Moreover, we show that the
condition for a ring to be left perfect and right coherent is also necessary
for the stable category to have cokernels, provided that the ring is left
hereditary and satisfies the additional condition that there are no non-trivial
projective injective left modules over it (satisfied, for instance, by integral
domains). This, in particular, implies that, for a Dedekind domain, the stable
category has cokernels if and only if the domain is left perfect. Several new
necessary and sufficient conditions for a left hereditary ring to be left
perfect and right coherent are found. One of them requires that the full
subcategory of projective modules be reflective in the category of modules.
Another one requires that any module be isomorphic to a stable module in the
stable category. Yet another equivalent condition found in the paper requires
that, for any module $M$, among all representations $M=K\oplus P$ with a
projective $P$, there should be the one with the smallest $K$. To accomplish
the goals, a version of the well-known Freyd's adjoint functor theorem, where
the solution set condition is removed under some additional conditions on the
categories, is given."
math,"The spectral measure of certain elements of the complex group ring of a
  wreath product","We use elementary methods to compute the L2-dimension of the eigenspaces of
the Markov operator on the lamplighter group and of generalizations of this
operator on other groups. In particular, we give a transparent explanation of
the spectral measure of the Markov operator on the lamplighter group found by
Grigorchuk-Zuk. The latter result was used by Grigorchuk-Linnell-Schick-Zuk to
produce a counterexample to a strong version of the Atiyah conjecture about the
range of L2-Betti numbers. We use our results to construct manifolds with
certain L2-Betti numbers (given as convergent infinite sums of rational
numbers) which are not obviously rational, but we have been unable to determine
whether any of them are irrational."
math,"Spaces with vanishing $l\sp 2$-homology and their fundamental groups
  (after Farber and Weinberger)","The ""zero in the spectrum conjecture"" asserted (in its strongest form) that
for any manifold M zero should be in the l2-spectrum of the Laplacian (on
forms) of the universal covering of M, i.e. that at least one (unreduced)
L2-cohomology group of (the universal covering of) M is non-zero.
  Farber and Weinberger gave the first counterexamples to this conjecture. In
this paper, using their fundamental idea to show the following stronger version
of this result:
  Let G be a finitely presented group and suppose that the homology groups
H_k(G,\ell^2(G)) are zero for k=0,1,2. For every dimension n\ge 6 there is a
closed manifold M of dimension n and with fundamental group G such that the
L2-cohomology of (the universal covering of) M vanishes in all degrees."
math,"Analytic Topology of Groups, Actions, Strings and Varietes",This is a paper in Analytic Topology.
math,Semiprojectivity and semiinjectivity in different categories,"Projectivity and injectivity are fundamental notions in category theory. We
consider natural weakenings termed semiprojectivity and semiinjectivity, and
study these concepts in different categories.
  For example, in the category of metric spaces, (semi)injective objects are
precisely the absolute (neighborhood) retracts. We show that the trivial group
is the only semiinjective group, while every free product of a finitely
presented group and a free group is semiprojective.
  To a compact, metric space $X$ we associate the commutative C*-algebra
$C(X)$. This association is contravariant, whence semiinjectivity of $X$ is
related to semiprojectivity of $C(X)$. Together with Adam S{\o}rensen, we
showed that $C(X)$ is semiprojective in the category of all C*-algebras if and
only if $X$ is an absolute neighborhood retract with dimension at most one."
math,Quantum direct products and the Künneth class,"We introduce a K\""unneth class in the quantum equivariant setting inspired by
the pioneer work by J. Chabert, H. Oyono-Oyono and S. Echterhoff, which allows
to relate the quantum Baum-Connes property with the K\""unneth formula by
generalising some key results of Chabert-Oyono-Oyono-Echterhoff to discrete
quantum groups. Finally, we make the observation that the C$^*$-algebra
defining a compact quantum group with dual satisfying the strong quantum
Baum-Connes property belongs to the K\""unneth class. This allows to obtain some
K-theory computations for quantum direct products based on earlier work by
Voigt and Vergnioux-Voigt."
math,"$K$-theory of two-dimensional substitution tiling spaces from
  $AF$-algebras","Given a two-dimensional substitution tiling space, we show that, under some
reasonable assumptions, the $K$-theory of the groupoid $C^\ast$-algebra of its
unstable groupoid can be explicitly reconstructed from the $K$-theory of the
$AF$-algebras of the substitution rule and its analogue on the $1$-skeleton. We
prove this by generalizing the calculations done for the chair tiling in [JS16]
using relative $K$-theory and excision, and packaging the result into an exact
sequence purely in topology. From this exact sequence, it appears that one
cannot use only ordinary $K$-theory to compute using the dimension-filtration
on the unstable groupoid. Several examples are computed using Sage and the
results are compiled in a table."
math,Etale groupoids as germ groupoids and their base extensions,"We introduce the notion of wide representation of an inverse semigroup and
prove that with a suitably defined topology there is a space of germs of such a
representation which has the structure of an etale groupoid. This gives an
elegant description of Paterson's universal groupoid and of the translation
groupoid of Skandalis, Tu, and Yu. In addition we characterize the inverse
semigroups that arise from groupoids, leading to a precise bijection between
the class of etale groupoids and the class of complete and infinitely
distributive inverse monoids equipped with suitable representations, and we
explain the sense in which quantales and localic groupoids carry a
generalization of this correspondence."
math,A Note on Surjective Inverse Systems,"Given an upward directed set $I$ we consider surjective $I$-inverse systems
$\{X_\al,f_{\al\be}:X_\be\lra X_\al| \al\leq\be\in I\}$, namely those inverse
systems that have all $f_{\al\be}$ surjective. A number of properties of
$I$-inverse systems have been investigated; such are the Mittag-Leffler
condition, investigated by Grothendieck and flabby and semi-flabby $I$-inverse
systems studied by Jensen. We note that flabby implies semi-flabby implies
surjective implies Mittag-Leffler. Some of the results about surjective inverse
systems have been known for some time. The aim of this note is to give a series
of equivalent statements and implications involving surjective inverse systems
and the systems satisfying the Mittag-Leffler condition, together with
improvements of established results, as well as their relationships with the
already known, but scattered facts. The most prominent results relate
cardinalities of the index sets with right exactness of the inverse limit
functor and the non-vanishing of the inverse limit -- connections related to
cohomological dimensions."
math,"On the abelianization of derived categories and a negative solution to
  Rosicky's problem","We prove for a large family of rings R that their lambda-pure global
dimension is greater than one for each infinite regular cardinal lambda. This
answers in negative a problem posed by Rosicky. The derived categories of such
rings then do not satisfy the Adams lambda-representability for morphisms for
any lambda. Equivalently, they are examples of well generated triangulated
categories whose lambda-abelianization in the sense of Neeman is not a full
functor for any lambda. In particular we show that given a compactly generated
triangulated category, one may not be able to find a Rosicky functor among the
lambda-abelianization functors."
math,Cohomologie des foncteurs polynomiaux sur les groupes libres,"We show that extension groups between two polynomial functors on free groups
are the same in the category of all functors and in a subcategory of polynomial
functors of bounded degree. We give some applications. ---- On montre que les
groupes d'extensions entre foncteurs polynomiaux sur les groupes libres sont
les m\^emes dans la cat\'egorie de tous les foncteurs et dans une
sous-cat\'egorie de foncteurs polynomiaux de degr\'e born\'e. On donne quelques
applications."
math,"Koszulity of cohomology = $K(π,1)$-ness + quasi-formality","This paper is a greatly expanded version of Section 9.11 in arXiv:1006.4343.
A series of definitions and results illustrating the thesis in the title (where
quasi-formality means vanishing of a certain kind of Massey multiplications in
the cohomology) is presented. In particular, we include a categorical
interpretation of the ""Koszulity implies $K(\pi,1)$"" claim, discuss the
differences between two versions of Massey operations, and apply the derived
nonhomogeneous Koszul duality theory in order to deduce the main theorem. In
the end we demonstrate a counterexample providing a negative answer to a
question of Hopkins and Wickelgren about formality of the cochain DG-algebras
of absolute Galois groups, thus showing that quasi-formality cannot be
strengthened to formality in the title assertion."
math,Galois theory and the categorical Peiffer commutator,"We show that the Peiffer commutator previously defined by Cigoli, Mantovani
and Metere can be used to characterize central extensions of precrossed modules
with respect to the subcategory of crossed modules in any semi-abelian category
satisfying an additional property. We prove that this commutator also
characterizes double central extensions, obtaining then some Hopf formulas for
the second and third homology objects of internal precrossed modules."
math,Torsion aspects of varieties of simplicial groups,"There is a lattice of torsion theories in simplicial groups such that the
torsion/torsion-free categories are given by simplicial groups with truncated
Moore complex below/above a certain degree. We study the restriction of these
torsion theories to certain subcategories of simplicial groups. In particular,
we prove that the categories of D.Conduch\'{e}'s 2-crossed modules and Ashley's
crossed complexes in groups are semi-abelian and we give some descriptions of
their torsion theories. These examples of torsion theories also give rise to
new examples of pretorsion theories in the sense of A. Facchini and C.
Finocchiaro, as well as examples of torsion torsion-free theories (TTF
theories)."
math,Integral Excision for K-Theory,"If A is a homotopy cartesian square of ring spectra satisfying connectivity
hypotheses, then the cube induced by Goodwillie's integral cyclotomic trace
from K(A) to TC(A) is homotopy cartesian. In other words, the homotopy fiber of
the cyclotomic trace satisfies excision. The method of proof gives as a
spin-off new proofs of some old results, as well as some new results, about
periodic cyclic homology, and - more relevantly for our current application -
the T-Tate spectrum of topological Hochschild homology, where T is the circle
group"
math,Exel-Pardo algebras with a twist,"Katsura associated a $C^*$-algebra $C^*_{A,B}$ to integral matrices $A\ge 0$
and $B$ of the same size, gave sufficient conditions on $(A,B)$ making it
simple purely infinite (SPI), and proved that any separable $C^*$-algebra
$KK$-isomorphic to a cone of an element $\xi\in KK(C(S^1)^n,C(S^1)^n)$ in
Kasparov's $KK$ is $KK$-isomorphic to an SPI $C^*_{A,B}$. Here we introduce,
for the data of a commutative ring $\ell$, matrices $A,B$ as above and $C$ of
the same size with coefficients in the group $\mathcal{U}(\ell)$ of invertible
elements, an $\ell$-algebra $\mathcal{O}_{A,B}^C$, the twisted Katsura algebra
of the triple $(A,B,C)$, show it is SPI whenever $\ell\supset\mathbb{Q}$ is a
field and $(A,B)$ satisfy Katsura conditions, and that any $\ell$-algebra which
is a cone of a map $\xi\in kk(\ell[t,t^{-1}]^n,\ell[t,t^{-1}]^n)$ in the
bivariant algebraic $K$-theory category $kk$ is $kk$-isomorphic to an SPI
$\mathcal{O}_{A,B}^C$. Twisted Katsura $\ell$-algebras are twisted Exel-Pardo
algebras $L(G,E,\phi_c)$ associated to a group $G$ acting on a graph $E$, and
$1$-cocycles $\phi:G\times E^1\to G$ and $c:G\times E^1\to \mathcal{U}(\ell)$.
We describe $L(G,E,\phi_c)$ by generators and relations, as a quotient of a
twisted semigroup algebra, as a twisted Steinberg algebra, as a corner skew
Laurent polynomial algebra, and as a universal localization of a tensor
algebra. We use each of these guises of $L(G,E,\phi_c)$ to study its
$K$-theoretic, regularity and simplicity properties. For example we show that
if $\ell\supset \mathbb{Q}$ is a field, $G$ and $E$ are countable and $E$ is
regular, then $L(G,E,\phi_c)$ is simple whenever the Exel-Pardo $C^*$-algebra
$C^*(G,E,\phi)$ is, and is SPI if in addition the Leavitt path algebra $L(E)$
is SPI."
